;key;country;inhabs_2017
35;AL;Albania;2930187
37;AT;Austria;8823054
33;BE;Belgium;11429336
3;BG;Bulgaria;7084571
25;HR;Croatia;4189353
8;CY;Cyprus;848300
9;CZ;Czechia;10618303
19;DK;Denmark;5733551
31;EE;Estonia;1309632
2;FI;Finland;5523231
12;FR;France;64979548
6;DE;Germany;82114224
5;EL;Greece;11159773
26;HU;Hungary;9721559
28;IS;Iceland;335025
27;IE;Ireland;4761657
20;IT;Italy;59359900
15;LV;Latvia;1949670
21;LI;Liechtenstein;37922
13;LT;Lithuania;2890297
14;LU;Luxembourg;583455
18;MT;Malta;430835
16;ME;Montenegro;62896
4;NL;Netherlands;17035938
17;MK;North Macedonia;2083160
11;NO;Norway;5305383
7;PL;Poland;38170712
34;PT;Portugal;10329506
30;RO;Romania;19679306
32;RS;Serbia;7058322
29;SK;Slovakia;5447662
23;SI;Slovenia;2079976
1;ES;Spain;46354321
22;SE;Sweden;9910701
10;CH;Switzerland;8476000
36;TR;Turkey;79810000
24;UK;United Kingdom;66181585
;US;US;325700000
;CN;China;1386000000
